timestamp,test_type,start,end,sum,forks,internal_time_sec,internal_fps,external_time_sec
2026-02-10T19:13:24Z,Baseline,1,1000,500500,1999,0.439027,4553.25,0.440
2026-02-10T19:13:25Z,Baseline,1,1000,500500,1999,0.424270,4711.62,0.425
2026-02-10T19:13:25Z,Baseline,1,1000,500500,1999,0.430330,4645.27,0.431
2026-02-10T19:13:26Z,Baseline,1,1000,500500,1999,0.433898,4607.07,0.435
2026-02-10T19:13:26Z,Baseline,1,1000,500500,1999,0.425152,4701.84,0.426
2026-02-10T19:13:26Z,Very Heavy,1,5000,12502500,9999,2.325873,4299.03,2.327
2026-02-10T19:13:29Z,Very Heavy,1,5000,12502500,9999,2.313746,4321.56,2.315
2026-02-10T19:13:31Z,Very Heavy,1,5000,12502500,9999,2.358367,4239.80,2.360
2026-02-10T19:13:33Z,Very Heavy,1,5000,12502500,9999,2.294122,4358.53,2.295
2026-02-10T19:13:36Z,Very Heavy,1,5000,12502500,9999,2.307480,4333.30,2.309
2026-02-10T19:13:38Z,Concurrent_A,1,1000,500500,1999,0.814874,2453.14,0.842
2026-02-10T19:13:38Z,Concurrent_B,1,1000,500500,1999,0.840741,2377.66,0.842
2026-02-10T19:13:39Z,Concurrent_A,1,1000,500500,1999,0.800020,2498.69,0.857
2026-02-10T19:13:39Z,Concurrent_B,1,1000,500500,1999,0.855152,2337.60,0.857
2026-02-10T19:13:40Z,Concurrent_A,1,1000,500500,1999,0.852764,2344.14,0.860
2026-02-10T19:13:40Z,Concurrent_B,1,1000,500500,1999,0.858618,2328.16,0.860
2026-02-10T19:13:41Z,Concurrent_A,1,1000,500500,1999,0.863426,2315.20,0.867
2026-02-10T19:13:41Z,Concurrent_B,1,1000,500500,1999,0.651345,3069.03,0.867
2026-02-10T19:13:42Z,Concurrent_A,1,1000,500500,1999,0.864667,2311.87,0.866
2026-02-10T19:13:42Z,Concurrent_B,1,1000,500500,1999,0.778417,2568.03,0.866
